['2015-08-30T13:10:00', 'æøå', '""aNOr/s/mTE2/s/bTlT/s/m8S8";;;;;\r']
['2015-08-30T13:14:00', 'æøå', '""#ولاية_دمشق";;;;;\r']
['2015-08-30T13:14:00', 'æøå', 'افراد جنوب دمشق یلدا میں ضلع الزین کی جانب جانیوالی ٹنل;;;;;\r']
['2015-08-30T13:28:00', 'æøå', 'Nusra used to have a 5 to 7 km frontline against IS in North-Aleppo. IS could never advance from that side.;;;;;\r']
['2015-08-30T13:31:00', 'æøå', '""@macroarch: أبو سمرا، طرابلس، لبنان ";;;;;\r']
['2015-08-30T13:31:00', 'æøå', 'tp://t.co/sNAkcqB7MR/s/tFTW;;;;;\r']
['2015-08-30T13:38:00', 'æøå', '""For Sake of Allah";;;;;\r']
['2015-08-30T14:02:00', 'æøå', '""حشد الشعبي کا مددگار صحوات الجیسات کا عنصر عدنان الجبوري آج #المال""";;;;;\r']
['2015-08-30T14:02:00', 'æøå', '""حة / #بيجي میں جنود #الخلافة کے ہاتھوں ھلاک ہوگیا۔ http://t.co/CDoM""";;;;;\r']
['2015-08-30T14:03:00', 'æøå', 'E58qi7/s/L7uu;;;;;\r']
['2015-08-30T16:27:00', 'æøå', '""@AHWAAL_UMMAT10: """"مصطفى الزبيدي"""" جیش الصفوي کا عنصر جنود #الخلافة ک""";;;;;\r']
['2015-08-30T16:27:00', 'æøå', 'ے ہاتھوں کل عراق میں ھلاک ہوگیا۔ http://t.co/ot6mr9wwmk/s/TE28;;;;;\r']
['2015-08-30T17:37:00', 'æøå', '""WilayatSalahuddin";;;;;\r']
['2015-08-31T10:57:00', 'æøå', 'RT @abdelhakzait: @nasseralfahad0كما فعل المجاهدون   وليس مجاهدين كيف لجاهل باللغة أن يكون عالما بالدين;;;;;\r']
['2015-08-31T10:58:00', 'æøå', '""AMEEN #Mojahdin #Saudi  https://t.co/XqoCTG3Ppm""";;;;;\r']
['2015-08-31T10:59:00', 'æøå', '""#IS #Doma  https://t.co/WXscnmSUne""";;;;;\r']
['2015-08-31T11:02:00', 'æøå', '""#ناصر_الفهد : [هذه الدولة (#السعودية ) لا تعرف جهاداً في سبيل الله ولا غيره، وإنما تعرف (الجهاد في سبيل أمريكا) ] .""";;;;;\r']
['2015-08-31T11:04:00', 'æøå', 'pls share brothers and sisters  https://t.co/Cske0scIbu;;;;;\r']
['2015-08-31T11:39:00', 'æøå', '""عقبال #دمشق https://t.co/Tn4tpgLgxA""";;;;;\r']
['2015-08-31T11:44:00', 'æøå', 'RT @CNN: Photo of Israeli soldier holding Palestinian boy in headlock goes viral. http://t.co/OD1Tk1RwGx http://t.co/iO0AlaUqDR;;;;;\r']
['2015-08-31T13:17:00', 'æøå', '""Iraq";;;;;\r']
